Angle	Frequency	m	p
64	384	1.2513988127	0.00696871936487
72	384	1.08572595116	0.0323560158728
80	384	0.978180482362	0.0148778027238
96	384	0.818438522529	0.00595927866199
112	384	0.700657137389	0.00683424753798
128	384	0.607326472184	0.0073518884414
144	384	0.539657519345	0.000671160202357
160	384	0.471450744862	0.0142835908912
180	384	0.42412015114	0.00434636424941

0.5	512	9.96642682079	0.000753554803814
1	512	9.87154689453	0.0123519858154
2	512	9.54830558144	-0.0146851555308
4	512	8.41948258581	-0.0318819949984
8	512	6.10107203942	-0.0962763893393
16	512	3.63374565127	0.0415554790986
24	512	2.56682318329	0.0582281015407
32	512	1.96084014887	0.0460832423556
40	512	1.58425574764	0.0583360693242
48	512	1.33355041247	0.0346175404655
56	512	1.14848758061	0.0397413944058
64	512	1.03796619716	-0.0160624246736
72	512	0.916333088675	0.00106044376519
80	512	0.823589611242	0.00136008974388
96	512	0.692733526502	-0.0106935028427
112	512	0.57300462716	0.00417455185439
128	512	0.492306459855	0.0115906126002
144	512	0.443525670359	-0.00115162860501
160	512	0.392401532807	0.00357326798852
180	512	0.346517912011	0.00407672283249
